"";"trabalha";"mae";"raça";"NSEAluno";"major"
"34700";"Trabalhar";"Superior+";"Parda";"4.73";"Publica"
"34701";"Nao_Sabe";"Fund+";"Branca";"6.03";"Publica"
"34702";"Trabalhar";"Fund-";"Preta";"5.03";"Publica"
"34703";"Estudar";"Fund+";"Branca";"5.6";"Publica"
"34704";"Nao_Sabe";"Fund-";"Branca";"5.14";"Publica"
"34705";"Estudar";"Fund+";"Branca";"5.46";"Privada"
"34706";"Trabalhar";"Fund+";"Parda";"5.17";"Publica"
"34707";"Nao_Sabe";"Superior+";"Parda";"5.19";"Publica"
"34708";"Nao_Sabe";"Superior+";"Branca";"6.44";"Publica"
"34709";"Trabalhar";"Fund-";"Parda";"5.78";"Publica"
"34710";"Estudar";"Fund+";"Preta";"5.58";"Publica"
"34711";"Nao_Sabe";"Medio+";"Branca";"6.68";"Privada"
"34712";"Nao_Sabe";"Fund-";"Branca";"6.65";"Privada"
"34713";"Nao_Sabe";"Superior+";"Branca";"5.58";"Publica"
"34714";"Trabalhar";"Medio+";"Parda";"5.61";"Publica"
"34715";"Nao_Sabe";"Superior+";"Branca";"6";"Publica"
"34716";"Nao_Sabe";"Superior+";"Branca";"6.09";"Publica"
"34717";"Trabalhar";"Fund+";"Branca";"5.73";"Publica"
"34718";"Trabalhar";"Fund-";"Preta";"4.44";"Publica"
"34719";"Nao_Sabe";"Superior+";"Preta";"5.4";"Publica"
"34720";"Nao_Sabe";"Fund+";"Branca";"5.18";"Publica"
"34721";"Nao_Sabe";"Superior+";"Preta";"4.6";"Publica"
"34722";"Trabalhar";"Fund+";"Parda";"5.71";"Publica"
"34723";"Nao_Sabe";"Superior+";"Parda";"5.65";"Publica"
"34724";"Nao_Sabe";"Superior+";"Parda";"5.32";"Publica"
"34725";"Estudar";"Fund+";"Parda";"6.04";"Publica"
"34726";"Nao_Sabe";"Superior+";"Branca";"5.35";"Publica"
"34727";"Trabalhar";"Superior+";"Parda";"4.81";"Publica"
"34728";"Estudar";"Fund+";"Branca";"5.58";"Publica"
"34729";"Trabalhar";"Fund+";"Branca";"5.93";"Publica"
"34730";"Trabalhar";"Fund-";"Branca";"5.76";"Publica"
"34731";"Nao_Sabe";"Fund+";"Branca";"4.63";"Publica"
"34732";"Trabalhar";"Superior+";"Parda";"4.93";"Publica"
"34733";"Nao_Sabe";"Superior+";"Parda";"5.56";"Publica"
"34734";"Trabalhar";"Superior+";"Branca";"5.61";"Publica"
"34735";"Trabalhar";"Fund-";"Branca";"6.04";"Publica"
"34736";"Trabalhar";"Fund-";"Parda";"5.77";"Publica"
"34737";"Trabalhar";"Superior+";"Parda";"5.98";"Publica"
"34738";"Trabalhar";"Superior+";"Parda";"5.55";"Publica"
"34739";"Trabalhar";"Fund-";"Branca";"";"Publica"
"34740";"Trabalhar";"Fund-";"Branca";"4.95";"Publica"
"34741";"Trabalhar";"Superior+";"Branca";"4.07";"Pub+Pri"
"34742";"Trabalhar";"Fund-";"Parda";"5.48";"Publica"
"34743";"Trabalhar";"Fund-";"Parda";"5.1";"Publica"
"34744";"Nao_Sabe";"Superior+";"Parda";"2.45";"Publica"
"34745";"Trabalhar";"Superior+";"Branca";"6.77";"Publica"
"34746";"Trabalhar";"Fund+";"Parda";"4.59";"Publica"
"34747";"Trabalhar";"Fund+";"Parda";"4.95";"Publica"
"34748";"Nao_Sabe";"Superior+";"Branca";"4.28";"Publica"
"34749";"Nao_Sabe";"Fund-";"Parda";"5.73";"Publica"
"34750";"Trabalhar";"Fund+";"Parda";"5.26";"Publica"
"34751";"Trabalhar";"Fund-";"Branca";"4.03";"Privada"
"34752";"Nao_Sabe";"Fund+";"Parda";"5.3";"Publica"
"34753";"Nao_Sabe";"Medio+";"Branca";"5.99";"Publica"
"34754";"Estudar";"Fund+";"Branca";"5.02";"Publica"
"34755";"Estudar";"Superior+";"Branca";"5.32";"Publica"
"34756";"Trabalhar";"Fund+";"Preta";"5.96";"Publica"
"34757";"Nao_Sabe";"Fund+";"Parda";"6.07";"Publica"
"34758";"Trabalhar";"Fund-";"Branca";"5.04";"Publica"
"34759";"Trabalhar";"Fund-";"Parda";"6.24";"Publica"
"34760";"Trabalhar";"Superior+";"Preta";"4.32";"Publica"
"34761";"Estudar";"Fund-";"Branca";"5.56";"Pub+Pri"
"34762";"Trabalhar";"Superior+";"Branca";"6.13";"Publica"
"34763";"Trabalhar";"Fund-";"Branca";"4.57";"Publica"
"34764";"Trabalhar";"Fund-";"Preta";"4.66";"Publica"
"34765";"Trabalhar";"Fund+";"Branca";"5.17";"Publica"
"34766";"Trabalhar";"Fund+";"Parda";"5.45";"Publica"
"34767";"Nao_Sabe";"Superior+";"Branca";"4.9";"Publica"
"34768";"Nao_Sabe";"Superior+";"Parda";"4.34";"Publica"
"34769";"Trabalhar";"Fund+";"Parda";"5.83";"Publica"
"34770";"Estudar";"Medio+";"Preta";"5.57";"Publica"
"34771";"Nao_Sabe";"Fund-";"Parda";"5.41";"Publica"
"34772";"Trabalhar";"Superior+";"Parda";"5.33";"Privada"
"34773";"Trabalhar";"Fund-";"Parda";"5.82";"Publica"
"34774";"Trabalhar";"Fund+";"Parda";"5.02";"Publica"
"34775";"Nao_Sabe";"Fund+";"Preta";"5.8";"Pub+Pri"
"34776";"Trabalhar";"Superior+";"Branca";"5.71";"Publica"
"34777";"Trabalhar";"Superior+";"Branca";"5";"Publica"
"34778";"Trabalhar";"Medio+";"Parda";"4.74";"Publica"
"34779";"Trabalhar";"Fund-";"Branca";"5.44";"Publica"
"34780";"Trabalhar";"Fund-";"Parda";"4.81";"Publica"
"34781";"Nao_Sabe";"Superior+";"Parda";"5.23";"Publica"
"34782";"Trabalhar";"Medio+";"Branca";"";"Publica"
"34783";"Trabalhar";"Fund+";"Parda";"5.38";"Publica"
"34784";"Nao_Sabe";"Superior+";"Parda";"4.96";"Publica"
"34785";"Trabalhar";"Fund-";"Preta";"5.99";"Pub+Pri"
"34786";"Nao_Sabe";"Superior+";"Branca";"5.6";"Publica"
"34787";"Trabalhar";"Superior+";"Branca";"5.03";"Publica"
"34788";"Trabalhar";"Fund-";"Branca";"5.36";"Publica"
"34789";"Trabalhar";"Superior+";"Parda";"6.02";"Publica"
"34790";"Nao_Sabe";"Fund-";"Branca";"4.26";"Publica"
"34791";"Nao_Sabe";"Fund+";"Preta";"5.04";"Publica"
"34792";"Trabalhar";"Fund-";"Parda";"4.95";"Publica"
"34793";"Trabalhar";"Fund-";"Branca";"5.68";"Publica"
"34794";"Trabalhar";"Fund+";"Preta";"";"Publica"
"34795";"Trabalhar";"Superior+";"Parda";"6.09";"Publica"
"34796";"Nao_Sabe";"Fund+";"Preta";"5.92";"Pub+Pri"
"34797";"Trabalhar";"Fund+";"Preta";"5.03";"Publica"
"34798";"Nao_Sabe";"Fund-";"Branca";"4.89";"Publica"
"34799";"Nao_Sabe";"Fund+";"Branca";"5.45";"Publica"
"34800";"Trabalhar";"Fund-";"Parda";"6.58";"Publica"
"34801";"Nao_Sabe";"Fund+";"Parda";"5.28";"Publica"
"34802";"Trabalhar";"Fund+";"Branca";"4.75";"Publica"
"34803";"Trabalhar";"Fund+";"Preta";"6.4";"Publica"
"34804";"Trabalhar";"Fund-";"Branca";"4.86";"Publica"
"34805";"Trabalhar";"Fund-";"Parda";"5.76";"Publica"
"34806";"Trabalhar";"Fund-";"Parda";"5.86";"Publica"
"34807";"Nao_Sabe";"Fund-";"Parda";"5.03";"Publica"
"34808";"Nao_Sabe";"Fund+";"Branca";"5.48";"Publica"
"34809";"Trabalhar";"Fund+";"Branca";"5.93";"Publica"
"34810";"Trabalhar";"Fund+";"Branca";"6.06";"Pub+Pri"
"34811";"Nao_Sabe";"Fund-";"Parda";"5.25";"Publica"
"34812";"Nao_Sabe";"Superior+";"Branca";"4.94";"Publica"
"34813";"Nao_Sabe";"Fund-";"Branca";"5.55";"Publica"
"34814";"Trabalhar";"Superior+";"Branca";"5.88";"Publica"
"34815";"Nao_Sabe";"Fund+";"Parda";"5.6";"Publica"
"34816";"Nao_Sabe";"Superior+";"Branca";"4.92";"Publica"
"34817";"Estudar";"Medio+";"Branca";"6.25";"Publica"
"34818";"Trabalhar";"Fund+";"Preta";"3.82";"Publica"
"34819";"Nao_Sabe";"Superior+";"Branca";"5.26";"Publica"
"34820";"Nao_Sabe";"Superior+";"Branca";"5";"Publica"
"34821";"Trabalhar";"Superior+";"Parda";"4.32";"Publica"
"34822";"Nao_Sabe";"Superior+";"Branca";"5.8";"Publica"
"34823";"Trabalhar";"Fund+";"Preta";"6.33";"Publica"
"34824";"Nao_Sabe";"Medio+";"Preta";"4.33";"Publica"
"34825";"Estudar";"Medio+";"Preta";"5.36";"Publica"
"34826";"Trabalhar";"Medio+";"Parda";"5.21";"Publica"
"34827";"Nao_Sabe";"Fund+";"Parda";"5.03";"Publica"
"34828";"Trabalhar";"Fund-";"Branca";"5.22";"Publica"
"34829";"Nao_Sabe";"Superior+";"Branca";"5.3";"Publica"
"34830";"Trabalhar";"Fund-";"Branca";"5.13";"Publica"
"34831";"Trabalhar";"Fund+";"Parda";"5.44";"Publica"
"34832";"Nao_Sabe";"Fund+";"Parda";"6.01";"Publica"
"34833";"Nao_Sabe";"Medio+";"Parda";"4.1";"Publica"
"34834";"Trabalhar";"Medio+";"Parda";"5.76";"Publica"
"34835";"Nao_Sabe";"Fund+";"Branca";"6.13";"Publica"
"34836";"Estudar";"Fund-";"Branca";"5.98";"Publica"
"34837";"Nao_Sabe";"Fund+";"Branca";"6.05";"Publica"
"34838";"Nao_Sabe";"Fund+";"Branca";"5.26";"Publica"
"34839";"Trabalhar";"Fund+";"Parda";"5.22";"Publica"
"34840";"Trabalhar";"Superior+";"Preta";"5.27";"Publica"
"34841";"Trabalhar";"Fund+";"Preta";"3.81";"Publica"
"34842";"Trabalhar";"Fund+";"Preta";"5.73";"Publica"
"34843";"Trabalhar";"Medio+";"Branca";"4.31";"Publica"
"34844";"Estudar";"Superior+";"Branca";"4.9";"Publica"
"34845";"Nao_Sabe";"Superior+";"Parda";"5.93";"Publica"
"34846";"Trabalhar";"Fund+";"Branca";"5.92";"Publica"
"34847";"Nao_Sabe";"Fund-";"Parda";"4.29";"Publica"
"34848";"Trabalhar";"Fund+";"Parda";"5.07";"Publica"
"34849";"Trabalhar";"Fund+";"Branca";"5.04";"Publica"
"34850";"Trabalhar";"Fund-";"Branca";"5.07";"Publica"
"34851";"Trabalhar";"Fund-";"Branca";"5.45";"Publica"
"34852";"Nao_Sabe";"Superior+";"Parda";"5.22";"Publica"
"34853";"Trabalhar";"Fund-";"Parda";"5.53";"Publica"
"34854";"Trabalhar";"Fund+";"Parda";"4.66";"Publica"
"34855";"Trabalhar";"Fund+";"Branca";"6.34";"Publica"
"34856";"Trabalhar";"Superior+";"Parda";"6.03";"Publica"
"34857";"Nao_Sabe";"Fund-";"Parda";"3.66";"Publica"
"34858";"Trabalhar";"Fund+";"Parda";"6.27";"Publica"
"34859";"Trabalhar";"Superior+";"Branca";"4.78";"Publica"
"34860";"Nao_Sabe";"Fund+";"Parda";"6.31";"Publica"
"34861";"Trabalhar";"Medio+";"Branca";"4.72";"Publica"
"34862";"Trabalhar";"Fund-";"Parda";"5.37";"Publica"
"34863";"Trabalhar";"Fund+";"Branca";"5.86";"Publica"
"34864";"Trabalhar";"Medio+";"Branca";"4.99";"Privada"
"34865";"Trabalhar";"Fund+";"Preta";"4.99";"Publica"
"34866";"Nao_Sabe";"Superior+";"Branca";"4.23";"Publica"
"34867";"Nao_Sabe";"Fund+";"Preta";"4.95";"Publica"
"34868";"Nao_Sabe";"Fund-";"Preta";"5.7";"Publica"
"34869";"Trabalhar";"Superior+";"Preta";"6.09";"Publica"
"34870";"Trabalhar";"Fund-";"Branca";"5.14";"Publica"
"34871";"Nao_Sabe";"Fund-";"Branca";"4.91";"Publica"
"34872";"Trabalhar";"Fund+";"Branca";"6.86";"Publica"
"34873";"Trabalhar";"Fund-";"Parda";"3.7";"Publica"
"34874";"Trabalhar";"Superior+";"Preta";"5.16";"Publica"
"34875";"Estudar";"Fund+";"Parda";"5.11";"Publica"
"34876";"Nao_Sabe";"Medio+";"Branca";"6.93";"Publica"
"34877";"Trabalhar";"Fund-";"Branca";"4.83";"Publica"
"34878";"Nao_Sabe";"Superior+";"Branca";"5.72";"Publica"
"34879";"Trabalhar";"Fund-";"Parda";"5.7";"Publica"
"34880";"Nao_Sabe";"Fund+";"Branca";"4.6";"Publica"
"34881";"Trabalhar";"Fund-";"Parda";"6.37";"Publica"
"34882";"Trabalhar";"Fund+";"Branca";"6.7";"Pub+Pri"
"34883";"Estudar";"Fund+";"Preta";"4.82";"Publica"
"34884";"Estudar";"Fund+";"Branca";"5.3";"Publica"
"34885";"Nao_Sabe";"Fund+";"Branca";"7.13";"Publica"
"34886";"Trabalhar";"Fund-";"Branca";"5.94";"Publica"
"34887";"Estudar";"Fund+";"Branca";"5.77";"Pub+Pri"
"34888";"Estudar";"Superior+";"Branca";"5.2";"Publica"
"34889";"Estudar";"Fund+";"Branca";"5.81";"Publica"
"34890";"Estudar";"Fund+";"Branca";"5.19";"Publica"
"34891";"Estudar";"Medio+";"Branca";"5.69";"Publica"
"34892";"Estudar";"Fund+";"Branca";"5.84";"Publica"
"34893";"Nao_Sabe";"Fund+";"Branca";"5.72";"Publica"
"34894";"Nao_Sabe";"Superior+";"Branca";"5.18";"Publica"
"34895";"Nao_Sabe";"Fund-";"Parda";"4.7";"Publica"
"34896";"Nao_Sabe";"Fund-";"Branca";"4.71";"Publica"
"34897";"Trabalhar";"Fund+";"Preta";"5.05";"Publica"
"34898";"Nao_Sabe";"Fund+";"Branca";"5.64";"Publica"
"34899";"Trabalhar";"Fund-";"Parda";"4.8";"Publica"
"34900";"Trabalhar";"Fund-";"Branca";"6.56";"Publica"
"34901";"Trabalhar";"Superior+";"Parda";"5.31";"Publica"
"34902";"Trabalhar";"Fund+";"Branca";"5.84";"Publica"
"34903";"Nao_Sabe";"Fund-";"Branca";"4.83";"Publica"
"34904";"Trabalhar";"Fund-";"Branca";"5.83";"Publica"
"34905";"Trabalhar";"Superior+";"Parda";"5.44";"Publica"
"34906";"Nao_Sabe";"Medio+";"Branca";"6.25";"Publica"
"34907";"Nao_Sabe";"Fund+";"Preta";"6.33";"Pub+Pri"
"34908";"Trabalhar";"Superior+";"Branca";"4.85";"Publica"
"34909";"Trabalhar";"Superior+";"Branca";"5.83";"Publica"
"34910";"Trabalhar";"Fund+";"Parda";"5.52";"Publica"
"34911";"Nao_Sabe";"Superior+";"Preta";"5.37";"Publica"
"34912";"Nao_Sabe";"Fund-";"Parda";"4.38";"Publica"
"34913";"Trabalhar";"Fund+";"Branca";"4.63";"Publica"
"34914";"Trabalhar";"Medio+";"Branca";"6.72";"Privada"
"34915";"Trabalhar";"Fund+";"Branca";"5.9";"Privada"
"34916";"Trabalhar";"Fund-";"Parda";"4.34";"Publica"
"34917";"Trabalhar";"Fund+";"Branca";"6.93";"Publica"
"34918";"Trabalhar";"Fund-";"Parda";"5.71";"Publica"
"34919";"Estudar";"Medio+";"Branca";"7.17";"Publica"
"34920";"Nao_Sabe";"Fund+";"Branca";"5.63";"Publica"
"34921";"Nao_Sabe";"Fund+";"Parda";"3.93";"Publica"
"34922";"Trabalhar";"Fund+";"Parda";"4.74";"Publica"
"34923";"Trabalhar";"Superior+";"Parda";"4.22";"Publica"
"34924";"Nao_Sabe";"Fund+";"Parda";"6.57";"Publica"
"34925";"Trabalhar";"Fund+";"Parda";"3.34";"Publica"
"34926";"Trabalhar";"Fund+";"Preta";"5.9";"Publica"
"34927";"Trabalhar";"Superior+";"Preta";"5.32";"Publica"
"34928";"Nao_Sabe";"Fund+";"Preta";"4.68";"Publica"
"34929";"Trabalhar";"Fund+";"Branca";"5.22";"Publica"
"34930";"Nao_Sabe";"Superior+";"Branca";"5.95";"Publica"
"34931";"Trabalhar";"Fund-";"Branca";"5.68";"Publica"
"34932";"Nao_Sabe";"Superior+";"Branca";"4.99";"Publica"
"34933";"Trabalhar";"Fund+";"Branca";"5.15";"Publica"
"34934";"Nao_Sabe";"Medio+";"Parda";"4.65";"Publica"
"34935";"Trabalhar";"Fund-";"Parda";"5.07";"Publica"
"34936";"Nao_Sabe";"Fund+";"Branca";"";"Publica"
"34937";"Trabalhar";"Fund-";"Branca";"5.59";"Publica"
"34938";"Estudar";"Fund+";"Branca";"5.72";"Publica"
"34939";"Estudar";"Fund+";"Branca";"4.78";"Publica"
"34940";"Nao_Sabe";"Fund+";"Branca";"5.69";"Publica"
"34941";"Trabalhar";"Fund+";"Branca";"5.22";"Publica"
"34942";"Trabalhar";"Superior+";"Parda";"2.51";"Publica"
"34943";"Estudar";"Fund+";"Branca";"4.64";"Publica"
"34944";"Nao_Sabe";"Fund+";"Branca";"4.64";"Publica"
"34945";"Trabalhar";"Fund-";"Branca";"5.99";"Publica"
"34946";"Trabalhar";"Superior+";"Branca";"5.53";"Publica"
"34947";"Nao_Sabe";"Fund-";"Parda";"5.37";"Publica"
"34948";"Nao_Sabe";"Superior+";"Parda";"6.01";"Publica"
"34949";"Trabalhar";"Fund+";"Parda";"4.98";"Publica"
"34950";"Estudar";"Fund-";"Branca";"4.78";"Publica"
"34951";"Trabalhar";"Superior+";"Branca";"4.51";"Publica"
"34952";"Estudar";"Fund-";"Branca";"6.23";"Publica"
"34953";"Trabalhar";"Fund+";"Branca";"5.61";"Publica"
"34954";"Nao_Sabe";"Superior+";"Branca";"4.28";"Publica"
"34955";"Nao_Sabe";"Fund+";"Preta";"5.93";"Publica"
"34956";"Trabalhar";"Superior+";"Branca";"4.39";"Publica"
"34957";"Nao_Sabe";"Fund+";"Parda";"5.49";"Publica"
"34958";"Estudar";"Fund+";"Branca";"5.05";"Publica"
"34959";"Nao_Sabe";"Fund-";"Branca";"5.09";"Publica"
"34960";"Trabalhar";"Superior+";"Branca";"5.8";"Publica"
"34961";"Trabalhar";"Fund+";"Branca";"5.82";"Publica"
"34962";"Nao_Sabe";"Superior+";"Branca";"5.01";"Publica"
"34963";"Trabalhar";"Fund-";"Parda";"4.61";"Publica"
"34964";"Trabalhar";"Fund-";"Parda";"";"Privada"
"34965";"Estudar";"Superior+";"Parda";"3.72";"Publica"
"34966";"Nao_Sabe";"Fund-";"Branca";"5.07";"Publica"
"34967";"Trabalhar";"Fund+";"Branca";"5.77";"Publica"
"34968";"Nao_Sabe";"Fund+";"Parda";"5.75";"Publica"
"34969";"Nao_Sabe";"Medio+";"Parda";"6.24";"Pub+Pri"
"34970";"Trabalhar";"Fund+";"Branca";"";"Publica"
"34971";"Trabalhar";"Fund-";"Parda";"5.09";"Publica"
"34972";"Estudar";"Fund-";"Preta";"5.82";"Publica"
"34973";"Trabalhar";"Fund-";"Branca";"5.96";"Publica"
"34974";"Nao_Sabe";"Superior+";"Branca";"4.64";"Publica"
"34975";"Nao_Sabe";"Fund-";"Parda";"5.25";"Publica"
"34976";"Estudar";"Superior+";"Parda";"4.68";"Publica"
"34977";"Trabalhar";"Superior+";"Parda";"4.02";"Publica"
"34978";"Trabalhar";"Fund-";"Parda";"5.19";"Publica"
"34979";"Trabalhar";"Medio+";"Branca";"6.14";"Publica"
"34980";"Trabalhar";"Fund+";"Parda";"5.23";"Publica"
"34981";"Trabalhar";"Fund-";"Preta";"5.27";"Publica"
"34982";"Trabalhar";"Superior+";"Branca";"5.46";"Publica"
"34983";"Trabalhar";"Fund+";"Parda";"6.18";"Publica"
"34984";"Trabalhar";"Fund-";"Branca";"5.04";"Publica"
"34985";"Nao_Sabe";"Fund-";"Parda";"4.63";"Publica"
"34986";"Trabalhar";"Fund-";"Branca";"5.33";"Publica"
"34987";"Trabalhar";"Fund-";"Parda";"4.66";"Publica"
"34988";"Nao_Sabe";"Fund+";"Parda";"4.82";"Publica"
"34989";"Nao_Sabe";"Superior+";"Branca";"6.1";"Publica"
"34990";"Nao_Sabe";"Fund-";"Branca";"5.2";"Publica"
"34991";"Trabalhar";"Fund+";"Preta";"5.04";"Publica"
"34992";"Trabalhar";"Fund-";"Branca";"5.39";"Publica"
"34993";"Trabalhar";"Fund+";"Branca";"4.42";"Publica"
"34994";"Trabalhar";"Fund-";"Branca";"4.47";"Publica"
"34995";"Nao_Sabe";"Fund+";"Parda";"5.31";"Publica"
"34996";"Trabalhar";"Fund-";"Preta";"4.96";"Publica"
"34997";"Nao_Sabe";"Fund+";"Preta";"5.52";"Publica"
"34998";"Estudar";"Fund-";"Preta";"5.58";"Publica"
"34999";"Nao_Sabe";"Fund+";"Parda";"5.86";"Publica"
"35000";"Trabalhar";"Fund-";"Branca";"4.99";"Publica"
"35001";"Nao_Sabe";"Fund-";"Parda";"5.07";"Publica"
"35002";"Nao_Sabe";"Fund-";"Branca";"4.59";"Publica"
"35003";"Estudar";"Medio+";"Branca";"6.73";"Pub+Pri"
"35004";"Nao_Sabe";"Superior+";"Branca";"4.95";"Publica"
"35005";"Nao_Sabe";"Fund-";"Parda";"5.23";"Publica"
"35006";"Nao_Sabe";"Fund-";"Branca";"4.46";"Publica"
"35007";"Trabalhar";"Fund+";"Parda";"5.01";"Publica"
"35008";"Trabalhar";"Fund-";"Branca";"5.28";"Publica"
"35009";"Trabalhar";"Fund-";"Preta";"4.61";"Publica"
"35010";"Trabalhar";"Superior+";"Parda";"5.18";"Publica"
"35011";"Trabalhar";"Fund+";"Branca";"6.3";"Publica"
"35012";"Nao_Sabe";"Superior+";"Branca";"4.83";"Publica"
"35013";"Trabalhar";"Fund-";"Preta";"4.95";"Publica"
"35014";"Trabalhar";"Fund+";"Parda";"5.24";"Publica"
"35015";"Nao_Sabe";"Fund-";"Branca";"4.42";"Publica"
"35016";"Nao_Sabe";"Fund-";"Parda";"5.56";"Publica"
"35017";"Trabalhar";"Fund+";"Parda";"5.19";"Publica"
"35018";"Trabalhar";"Fund-";"Preta";"4.5";"Publica"
"35019";"Nao_Sabe";"Superior+";"Parda";"4.86";"Publica"
"35020";"Nao_Sabe";"Fund-";"Preta";"4.6";"Publica"
"35021";"Trabalhar";"Superior+";"Parda";"4.88";"Publica"
"35022";"Trabalhar";"Fund-";"Branca";"5.12";"Publica"
"35023";"Trabalhar";"Fund+";"Parda";"6";"Publica"
"35024";"Estudar";"Medio+";"Branca";"6.01";"Pub+Pri"
"35025";"Nao_Sabe";"Fund-";"Branca";"5.87";"Pub+Pri"
"35026";"Nao_Sabe";"Fund+";"Branca";"5.89";"Publica"
"35027";"Nao_Sabe";"Superior+";"Parda";"5.48";"Publica"
"35028";"Trabalhar";"Fund-";"Branca";"5.41";"Publica"
"35029";"Trabalhar";"Fund+";"Branca";"5.52";"Publica"
"35030";"Nao_Sabe";"Medio+";"Parda";"6.29";"Publica"
"35031";"Trabalhar";"Medio+";"Parda";"7.07";"Publica"
"35032";"Estudar";"Fund+";"Branca";"5.82";"Publica"
"35033";"Nao_Sabe";"Fund+";"Branca";"5.75";"Publica"
"35034";"Nao_Sabe";"Fund-";"Branca";"6.47";"Publica"
"35035";"Estudar";"Fund+";"Parda";"5.86";"Publica"
"35036";"Nao_Sabe";"Fund+";"Branca";"6.93";"Pub+Pri"
"35037";"Estudar";"Medio+";"Branca";"6.18";"Pub+Pri"
"35038";"Estudar";"Medio+";"Branca";"6.19";"Publica"
"35039";"Trabalhar";"Superior+";"Parda";"6.3";"Publica"
"35040";"Trabalhar";"Fund-";"Branca";"5.12";"Publica"
"35041";"Nao_Sabe";"Fund+";"Branca";"5.94";"Publica"
"35042";"Trabalhar";"Fund+";"Branca";"4.81";"Publica"
"35043";"Nao_Sabe";"Superior+";"Parda";"4.65";"Publica"
"35044";"Nao_Sabe";"Fund-";"Parda";"5.27";"Publica"
"35045";"Trabalhar";"Fund-";"Branca";"4.71";"Publica"
"35046";"Nao_Sabe";"Fund-";"Branca";"6.45";"Publica"
"35047";"Trabalhar";"Fund-";"Parda";"5.3";"Publica"
"35048";"Trabalhar";"Fund-";"Parda";"4.69";"Publica"
"35049";"Trabalhar";"Superior+";"Parda";"3.93";"Pub+Pri"
"35050";"Nao_Sabe";"Fund-";"Parda";"4.16";"Publica"
"35051";"Trabalhar";"Fund-";"Branca";"5.09";"Pub+Pri"
"35052";"Trabalhar";"Fund+";"Branca";"4.87";"Publica"
"35053";"Nao_Sabe";"Fund-";"Parda";"5.13";"Publica"
"35054";"Nao_Sabe";"Fund-";"Branca";"4.98";"Publica"
"35055";"Nao_Sabe";"Fund-";"Preta";"6.43";"Publica"
"35056";"Trabalhar";"Fund-";"Parda";"5.28";"Publica"
"35057";"Nao_Sabe";"Fund-";"Parda";"4.72";"Publica"
"35058";"Trabalhar";"Fund-";"Branca";"5.23";"Publica"
"35059";"Nao_Sabe";"Fund-";"Branca";"5.42";"Publica"
"35060";"Trabalhar";"Medio+";"Branca";"6.54";"Publica"
"35061";"Trabalhar";"Fund-";"Parda";"5.68";"Pub+Pri"
"35062";"Trabalhar";"Fund+";"Parda";"6.03";"Pub+Pri"
"35063";"Estudar";"Fund-";"Branca";"5.25";"Publica"
"35064";"Nao_Sabe";"Fund+";"Branca";"5.58";"Publica"
"35065";"Trabalhar";"Fund-";"Branca";"4.28";"Publica"
"35066";"Trabalhar";"Superior+";"Parda";"5.38";"Publica"
"35067";"Nao_Sabe";"Fund+";"Branca";"6.68";"Publica"
"35068";"Trabalhar";"Fund-";"Branca";"4.92";"Publica"
"35069";"Trabalhar";"Superior+";"Branca";"5.91";"Publica"
"35070";"Nao_Sabe";"Superior+";"Branca";"5.95";"Publica"
"35071";"Trabalhar";"Superior+";"Parda";"4.49";"Publica"
"35072";"Nao_Sabe";"Fund+";"Branca";"5.82";"Publica"
"35073";"Trabalhar";"Superior+";"Parda";"4.55";"Publica"
"35074";"Trabalhar";"Fund-";"Preta";"5.47";"Publica"
"35075";"Trabalhar";"Fund-";"Preta";"4.4";"Publica"
"35076";"Trabalhar";"Superior+";"Preta";"6.81";"Publica"
"35077";"Trabalhar";"Fund-";"Parda";"6.02";"Publica"
"35078";"Nao_Sabe";"Fund+";"Branca";"5.7";"Publica"
"35079";"Trabalhar";"Fund+";"Parda";"5.23";"Publica"
"35080";"Nao_Sabe";"Superior+";"Parda";"5.08";"Publica"
"35081";"Trabalhar";"Fund+";"Parda";"5.93";"Publica"
"35082";"Trabalhar";"Fund-";"Branca";"5.05";"Publica"
"35083";"Trabalhar";"Superior+";"Branca";"6.64";"Publica"
"35084";"Nao_Sabe";"Fund+";"Branca";"4.64";"Publica"
"35085";"Nao_Sabe";"Superior+";"Branca";"5.08";"Publica"
"35086";"Estudar";"Fund+";"Branca";"5.48";"Publica"
"35087";"Nao_Sabe";"Fund+";"Parda";"5.85";"Publica"
"35088";"Trabalhar";"Fund+";"Branca";"5.39";"Publica"
"35089";"Nao_Sabe";"Fund-";"Branca";"4.18";"Publica"
"35090";"Trabalhar";"Fund-";"Parda";"4.87";"Publica"
"35091";"Nao_Sabe";"Fund+";"Branca";"4.38";"Publica"
"35092";"Trabalhar";"Fund-";"Parda";"4.99";"Publica"
"35093";"Trabalhar";"Superior+";"Branca";"5.77";"Publica"
"35094";"Trabalhar";"Fund-";"Branca";"5.38";"Publica"
"35095";"Trabalhar";"Fund-";"Branca";"5.22";"Publica"
"35096";"Nao_Sabe";"Fund-";"Parda";"4.48";"Publica"
"35097";"Trabalhar";"Fund+";"Branca";"4.87";"Publica"
"35098";"Nao_Sabe";"Superior+";"Parda";"";"Publica"
"35099";"Trabalhar";"Fund+";"Parda";"";"Publica"
"35100";"Trabalhar";"Fund-";"Preta";"5.46";"Publica"
"35101";"Nao_Sabe";"Superior+";"Branca";"4.69";"Publica"
"35102";"Estudar";"Fund-";"Parda";"4.76";"Publica"
