"";"trabalha";"mae";"raça";"NSEAluno";"major"
"249";"Trabalhar";"Fund-";"Parda";"3.98";"Publica"
"250";"Trabalhar";"Fund+";"Parda";"5.18";"Publica"
"251";"Nao_Sabe";"Fund+";"Branca";"6.26";"Publica"
"252";"Trabalhar";"Fund+";"Branca";"";"Publica"
"253";"Trabalhar";"Fund+";"Branca";"";"Publica"
"254";"Nao_Sabe";"Fund-";"Branca";"5.26";"Publica"
"255";"Nao_Sabe";"Superior+";"Branca";"5.83";"Publica"
"256";"Estudar";"Fund+";"Branca";"7.08";"Publica"
"257";"Trabalhar";"Fund-";"Preta";"5.21";"Publica"
"258";"Nao_Sabe";"Fund-";"Parda";"4.86";"Publica"
"259";"Nao_Sabe";"Fund+";"Branca";"6.24";"Publica"
"260";"Estudar";"Medio+";"Branca";"5.18";"Pub+Pri"
"261";"Trabalhar";"Fund-";"Parda";"5.77";"Publica"
"262";"Trabalhar";"Fund-";"Parda";"5.94";"Publica"
"263";"Nao_Sabe";"Fund-";"Branca";"4.89";"Publica"
"264";"Trabalhar";"Superior+";"Preta";"";"Publica"
"265";"Trabalhar";"Superior+";"Parda";"5.81";"Publica"
"266";"Nao_Sabe";"Fund-";"Parda";"5.67";"Publica"
"267";"Nao_Sabe";"Fund-";"Branca";"5.2";"Publica"
"268";"Trabalhar";"Fund+";"Branca";"5.32";"Publica"
"269";"Nao_Sabe";"Fund-";"Parda";"4.66";"Publica"
"270";"Trabalhar";"Fund-";"Parda";"5.31";"Publica"
"271";"Trabalhar";"Fund-";"Parda";"4.17";"Publica"
"272";"Nao_Sabe";"Fund-";"Parda";"4.49";"Publica"
"273";"Trabalhar";"Fund+";"Preta";"5.69";"Publica"
"274";"Nao_Sabe";"Superior+";"Preta";"5.52";"Pub+Pri"
"275";"Nao_Sabe";"Superior+";"Parda";"4.27";"Publica"
"276";"Nao_Sabe";"Fund-";"Branca";"4.64";"Publica"
"277";"Nao_Sabe";"Fund-";"Parda";"4.18";"Publica"
"278";"Trabalhar";"Fund-";"Parda";"5.71";"Publica"
"279";"Trabalhar";"Fund-";"Parda";"5.37";"Publica"
"280";"Trabalhar";"Fund-";"Branca";"5.3";"Publica"
"281";"Trabalhar";"Fund-";"Parda";"5.21";"Publica"
"282";"Trabalhar";"Superior+";"Parda";"5.89";"Publica"
"283";"Nao_Sabe";"Fund-";"Parda";"4.12";"Publica"
"284";"Trabalhar";"Fund+";"Branca";"6.59";"Publica"
"285";"Trabalhar";"Superior+";"Branca";"5.31";"Publica"
"286";"Trabalhar";"Fund-";"Branca";"4.5";"Publica"
"287";"Trabalhar";"Fund-";"Branca";"5.03";"Publica"
"288";"Trabalhar";"Superior+";"Parda";"4.26";"Publica"
"289";"Nao_Sabe";"Superior+";"Branca";"3.7";"Publica"
"290";"Trabalhar";"Fund-";"Branca";"5.74";"Pub+Pri"
"291";"Trabalhar";"Superior+";"Branca";"6.44";"Publica"
"292";"Trabalhar";"Fund+";"Branca";"4.12";"Publica"
"293";"Trabalhar";"Fund+";"Branca";"5.44";"Publica"
"294";"Trabalhar";"Fund+";"Parda";"5.82";"Publica"
"295";"Trabalhar";"Fund+";"Parda";"5.21";"Publica"
